resp_id,worker_pre,att_covid_selfsevere,age,weight_main
394,yes,Somewhat agree,41,0
395,yes,Somewhat disagree,38,0
396,yes,Neutral,61,0
397,yes,Strongly disagree,49,0
398,yes,Somewhat disagree,53,0
399,no,Somewhat agree,34,0
400,yes,Somewhat disagree,29,0
401,yes,Strongly disagree,41,0
402,yes,Strongly agree,28,0
403,yes,Somewhat disagree,40,0
404,yes,Strongly disagree,25,0
405,yes,Somewhat disagree,49,0
406,yes,Somewhat disagree,42,0
407,yes,Somewhat disagree,27,0
408,yes,Strongly agree,28,0
409,no,Somewhat agree,63,0
410,yes,Strongly agree,23,0
411,yes,Strongly agree,27,0
412,yes,Neutral,34,0
413,yes,Somewhat disagree,51,0
414,yes,Neutral,47,0
415,yes,Somewhat agree,35,0
416,yes,Neutral,33,0
417,no,Somewhat disagree,43,0
418,yes,Neutral,58,0
419,yes,Neutral,42,0
420,yes,Somewhat disagree,30,0
421,yes,Somewhat disagree,34,0
422,yes,Somewhat agree,43,0
423,yes,Somewhat agree,64,0
424,yes,Strongly disagree,43,0
425,yes,Somewhat disagree,29,0
426,yes,Neutral,46,0
427,yes,Somewhat disagree,44,0
428,yes,Somewhat agree,55,0
429,no,Somewhat agree,49,0
430,yes,Somewhat disagree,49,0
431,no,Somewhat disagree,46,0
432,yes,Somewhat disagree,41,0
433,yes,Somewhat disagree,28,0
434,yes,Neutral,62,0
435,no,Somewhat agree,73,0
436,yes,Strongly agree,53,0
437,yes,Somewhat agree,57,0
438,yes,Neutral,31,0
439,no,Neutral,83,0
440,yes,Somewhat agree,35,0
441,yes,Somewhat disagree,51,0
442,no,Somewhat agree,65,0
443,no,Strongly disagree,22,0
444,yes,Somewhat agree,51,0
446,yes,Somewhat disagree,23,0
448,yes,Strongly agree,69,0
449,yes,Somewhat disagree,43,0
450,yes,Somewhat agree,65,0
451,no,Somewhat disagree,35,0
452,yes,Somewhat agree,53,0
453,yes,Somewhat agree,40,0
454,yes,Somewhat disagree,39,0
455,yes,Strongly agree,42,0
456,yes,Somewhat agree,32,0
457,yes,Somewhat disagree,44,0
458,yes,Somewhat disagree,52,0
459,yes,Somewhat disagree,39,0
460,yes,Somewhat disagree,50,0
461,yes,Somewhat disagree,37,0
462,yes,Somewhat agree,33,0
463,yes,Somewhat agree,32,0
464,yes,Somewhat disagree,41,0
465,yes,Strongly agree,27,0
466,yes,Somewhat disagree,29,0
467,yes,Strongly agree,59,0
468,yes,Neutral,48,0
469,yes,Somewhat agree,34,0
470,yes,Somewhat agree,66,0
471,yes,Neutral,53,0
472,yes,Strongly agree,28,0
474,yes,Somewhat agree,27,0
475,yes,Strongly agree,33,0
476,yes,Somewhat agree,28,0
477,no,Somewhat agree,66,0
478,yes,Somewhat disagree,40,0
479,yes,Somewhat agree,75,0
480,yes,Somewhat disagree,56,0
481,no,Somewhat agree,68,0
482,yes,Somewhat agree,30,0
483,yes,Somewhat disagree,34,0
484,yes,Strongly disagree,47,0
485,yes,Somewhat disagree,28,0
486,yes,Somewhat disagree,29,0
487,yes,Somewhat disagree,27,0
488,yes,Somewhat agree,42,0
489,yes,Strongly disagree,21,0
490,yes,Somewhat disagree,32,0
491,yes,Strongly agree,49,0
492,yes,Strongly agree,24,0
493,yes,Somewhat disagree,46,0
494,yes,Neutral,20,0
496,yes,Strongly agree,47,0
497,yes,Somewhat disagree,53,0
498,yes,Somewhat disagree,40,0
499,yes,Somewhat disagree,33,0
500,yes,Somewhat disagree,39,0
501,no,Strongly agree,80,0
502,yes,Somewhat disagree,53,0
503,yes,Somewhat agree,37,0
504,yes,Neutral,29,0
505,yes,Somewhat disagree,37,0
506,no,Strongly agree,59,0
507,yes,Somewhat disagree,40,0
508,yes,Strongly agree,29,0
509,no,Neutral,75,0
510,yes,Somewhat agree,59,0
511,yes,Somewhat agree,51,0
512,yes,Somewhat agree,45,0
513,yes,Strongly agree,28,0
514,yes,Strongly agree,27,0
515,yes,Somewhat agree,27,0
516,yes,Somewhat disagree,26,0
517,yes,Neutral,38,0
518,yes,Neutral,42,0
519,yes,Somewhat disagree,59,0
521,yes,Somewhat agree,35,0
522,yes,Somewhat agree,27,0
523,yes,Strongly disagree,31,0
524,yes,Somewhat disagree,36,0
526,yes,Somewhat disagree,28,0
527,yes,Neutral,25,0
529,yes,Somewhat agree,24,0
530,yes,Neutral,49,0
531,yes,Strongly disagree,44,0
532,yes,Somewhat disagree,34,0
533,yes,Somewhat agree,28,0
534,yes,Strongly disagree,32,0
535,yes,Strongly disagree,43,0
536,yes,Somewhat disagree,30,0
537,yes,Somewhat agree,46,0
538,no,Strongly agree,61,0
539,yes,Somewhat disagree,27,0
540,yes,Somewhat agree,26,0
541,yes,Strongly agree,21,0
542,yes,Neutral,43,0
543,yes,Somewhat agree,65,0
544,yes,Strongly agree,42,0
545,yes,Strongly disagree,32,0
546,yes,Strongly agree,55,0
547,yes,Somewhat disagree,34,0
548,yes,Somewhat agree,33,0
549,yes,Neutral,40,0
550,yes,Somewhat disagree,32,0
551,yes,Strongly agree,32,0
552,yes,Neutral,24,0
553,yes,Somewhat disagree,46,0
554,no,Strongly disagree,45,0
555,yes,Strongly agree,61,0
556,yes,Somewhat disagree,37,0
557,yes,Strongly agree,30,0
